Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
Singapore,GDP Constant Prices,2001-06-30T00:00:00,48028.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2001-09-30T00:00:00,46955.7,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2001-12-31T00:00:00,47263.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2002-03-31T00:00:00,48698.9,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2002-06-30T00:00:00,50094.7,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2002-09-30T00:00:00,50127,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2002-12-31T00:00:00,50044.3,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2003-03-31T00:00:00,50712.4,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2003-06-30T00:00:00,50016,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2003-09-30T00:00:00,52842.8,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2003-12-31T00:00:00,54340.6,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2004-03-31T00:00:00,55957.2,Quarterly,SINGAPOREGDPCONPRI,2019-07-12T11:31:00
Singapore,GDP Constant Prices,2004-06-30T00:00:00,56784.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2004-09-30T00:00:00,57171.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2004-12-31T00:00:00,58486.9,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2005-03-31T00:00:00,58857.7,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2005-06-30T00:00:00,60385.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2005-09-30T00:00:00,61933.3,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2005-12-31T00:00:00,63995.8,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2006-03-31T00:00:00,65052.4,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2006-06-30T00:00:00,65764,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2006-09-30T00:00:00,66983.8,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2006-12-31T00:00:00,69568.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2007-03-31T00:00:00,70635.1,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2007-06-30T00:00:00,72273.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2007-09-30T00:00:00,74137.6,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2007-12-31T00:00:00,74475.8,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2008-03-31T00:00:00,76430.2,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2008-06-30T00:00:00,74492.5,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
Singapore,GDP Constant Prices,2008-09-30T00:00:00,73932.3,Quarterly,SINGAPOREGDPCONPRI,2019-05-21T10:35:00
